Dovoljenja za gradnjo stavb: število stavb, njihova gradbena velikost in stanovanja v njih, glede na vrsto stavbe in vrsto investitorja, po statistiènih regijah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATISTIÈNA REGIJA;INVESTITOR;TIP STAVBE;2010 Število stavb;2010 Površina stavb      [m2];2010 Število stanovanj v stavbah;2011 Število stavb;2011 Površina stavb      [m2];2011 Število stanovanj v stavbah;2012 Število stavb;2012 Površina stavb      [m2];2012 Število stanovanj v stavbah;2013 Število stavb;2013 Površina stavb      [m2];2013 Število stanovanj v stavbah;2014 Število stavb;2014 Površina stavb      [m2];2014 Število stanovanj v stavbah;2015 Število stavb;2015 Površina stavb      [m2];2015 Število stanovanj v stavbah;2016 Število stavb;2016 Površina stavb      [m2];2016 Število stanovanj v stavbah;2017 Število stavb;2017 Površina stavb      [m2];2017 Število stanovanj v stavbah;2018 Število stavb;2018 Površina stavb      [m2];2018 Število stanovanj v stavbah;2019 Število stavb;2019 Površina stavb      [m2];2019 Število stanovanj v stavbah;2020 Število stavb;2020 Površina stavb      [m2];2020 Število stanovanj v stavbah
SLOVENIJA;Investitor - SKUPAJ;Stanovanjske stavbe;2870;1105243;4741;2629;772110;3713;2375;671523;3082;2549;708177;3081;2359;601839;2641;2441;616917;2688;2617;661373;3034;2713;699311;3116;2834;795092;3637;2572;729321;3314;2583;806176;3667
Pomurska;Investitor - SKUPAJ;Stanovanjske stavbe;243;52682;256;186;42149;188;146;32372;147;184;41480;184;174;34615;174;203;47876;260;216;47456;234;210;43828;221;240;55696;278;192;44119;233;195;48337;241
Podravska;Investitor - SKUPAJ;Stanovanjske stavbe;550;146601;748;529;144630;801;381;94677;452;469;109527;505;448;107968;467;434;97517;449;535;122391;582;622;139068;663;612;152539;725;578;162776;712;603;174846;734
Koroška;Investitor - SKUPAJ;Stanovanjske stavbe;89;24369;91;74;21141;88;83;20941;89;75;21442;104;86;22463;100;63;14926;71;70;16318;71;73;16821;75;77;20004;85;67;19759;112;74;35029;198
Savinjska;Investitor - SKUPAJ;Stanovanjske stavbe;416;133570;717;372;106146;532;334;112377;603;332;77033;341;284;66333;302;309;68732;310;306;71924;341;330;77191;361;375;93095;476;336;88698;418;340;104123;436
Zasavska;Investitor - SKUPAJ;Stanovanjske stavbe;19;30093;55;24;6741;24;25;7646;39;23;6582;22;26;6389;28;44;16146;64;39;9550;43;37;8918;39;45;9480;46;17;4817;17;40;9893;45
Posavska;Investitor - SKUPAJ;Stanovanjske stavbe;129;31860;132;90;23340;92;80;19082;81;94;25093;96;122;29467;122;110;25760;110;111;25978;130;112;26397;113;113;25712;114;88;28822;143;92;25881;122
Jugovzhodna Slovenija;Investitor - SKUPAJ;Stanovanjske stavbe;200;51819;222;214;59420;280;234;61377;240;215;57251;218;261;65021;278;276;66809;275;204;56669;265;227;55232;229;217;59772;272;244;58093;259;221;84939;382
Osrednjeslovenska;Investitor - SKUPAJ;Stanovanjske stavbe;558;373385;1423;532;155159;672;521;133788;569;598;212457;971;501;138100;645;404;107813;429;616;158208;707;587;190917;857;565;194902;903;551;174388;773;564;173802;806
Gorenjska;Investitor - SKUPAJ;Stanovanjske stavbe;232;96683;357;242;74643;329;246;93252;450;222;65643;275;184;49845;208;219;57548;235;218;70614;327;229;61618;238;277;81429;325;217;71032;333;210;68370;309
Primorsko-notranjska;Investitor - SKUPAJ;Stanovanjske stavbe;122;40665;206;71;17958;72;74;21578;79;54;14026;57;53;12574;54;82;22085;84;65;16460;65;52;12259;53;54;15040;71;28;7047;30;37;12845;66
Goriška;Investitor - SKUPAJ;Stanovanjske stavbe;170;58420;210;165;60200;248;160;47770;192;184;51904;203;151;44177;154;180;49903;197;131;38624;140;122;36442;129;156;46189;177;151;42649;168;112;42856;222
Obalno-kraška;Investitor - SKUPAJ;Stanovanjske stavbe;142;65096;324;130;60583;387;91;26663;141;99;25739;105;69;24887;109;117;41802;204;106;27181;129;112;30620;138;103;41234;165;103;27121;116;95;25255;106
