Kako gospodinstva preživijo s svojimi prihodki, statistiène regije, Slovenija, letno;;;;;;;
;;;;;;;
STATISTIÈNA REGIJA;LETO;Zelo težko;Težko;Z manjšimi težavami;Dokaj lahko;Lahko;Zelo lahko
Pomurska;2010;11;27;42;16;4;1
Pomurska;2011;13;29;43;11;3;1
Pomurska;2012;8;30;40;15;6;1
Pomurska;2013;6;26;48;16;4;0
Pomurska;2014;10;21;45;15;9;0
Pomurska;2015;6;20;47;20;5;1
Pomurska;2016;9;18;49;15;8;1
Pomurska;2017;6;23;43;21;7;0
Pomurska;2018;8;22;40;18;10;1
Pomurska;2019;6;21;37;24;12;1
Pomurska;2020;8;18;38;26;11;0
Podravska;2010;15;25;36;15;7;1
Podravska;2011;17;23;35;17;6;2
Podravska;2012;15;20;36;17;10;2
Podravska;2013;16;24;36;14;8;1
Podravska;2014;15;20;37;19;9;1
Podravska;2015;13;20;36;20;9;2
Podravska;2016;12;21;33;20;12;2
Podravska;2017;12;18;37;19;13;1
Podravska;2018;10;17;34;24;13;2
Podravska;2019;7;18;33;26;13;3
Podravska;2020;9;17;30;28;15;1
Koroška;2010;15;33;33;14;4;1
Koroška;2011;16;29;35;12;9;0
Koroška;2012;11;27;32;20;11;1
Koroška;2013;18;26;37;12;7;1
Koroška;2014;21;30;27;13;9;0
Koroška;2015;24;30;26;11;8;1
Koroška;2016;18;30;25;15;11;2
Koroška;2017;12;29;33;16;9;0
Koroška;2018;10;32;30;18;8;2
Koroška;2019;8;20;36;24;10;1
Koroška;2020;12;20;39;18;10;1
Savinjska;2010;12;24;39;17;7;1
Savinjska;2011;12;22;41;16;8;1
Savinjska;2012;9;23;38;19;11;0
Savinjska;2013;11;27;38;15;7;1
Savinjska;2014;12;24;40;17;8;1
Savinjska;2015;8;26;37;18;10;1
Savinjska;2016;9;24;36;20;9;1
Savinjska;2017;10;21;39;16;12;1
Savinjska;2018;10;18;37;21;12;2
Savinjska;2019;7;18;37;23;13;2
Savinjska;2020;7;17;35;25;15;2
Zasavska;2010;10;15;38;24;12;1
Zasavska;2011;11;22;40;18;10;0
Zasavska;2012;13;17;39;20;11;0
Zasavska;2013;13;24;38;18;5;1
Zasavska;2014;13;26;33;19;8;2
Zasavska;2015;13;23;34;20;8;2
Zasavska;2016;8;26;33;21;11;1
Zasavska;2017;15;20;26;23;15;1
Zasavska;2018;6;23;31;27;9;3
Zasavska;2019;5;20;31;27;14;3
Zasavska;2020;11;14;32;26;15;2
Posavska;2010;6;28;33;21;12;1
Posavska;2011;9;19;42;17;11;2
Posavska;2012;13;26;34;18;8;1
Posavska;2013;23;35;28;11;4;1
Posavska;2014;13;39;28;14;6;1
Posavska;2015;12;24;42;14;7;1
Posavska;2016;15;20;39;14;10;2
