Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBÈINE;MERITVE;2010 Stanovanja - SKUPAJ;2010 Enosobna;2010 Dvosobna;2010 Trisobna;2010 Štirisobna;2010 Pet- in veèsobna;2011 Stanovanja - SKUPAJ;2011 Enosobna;2011 Dvosobna;2011 Trisobna;2011 Štirisobna;2011 Pet- in veèsobna;2012 Stanovanja - SKUPAJ;2012 Enosobna;2012 Dvosobna;2012 Trisobna;2012 Štirisobna;2012 Pet- in veèsobna;2013 Stanovanja - SKUPAJ;2013 Enosobna;2013 Dvosobna;2013 Trisobna;2013 Štirisobna;2013 Pet- in veèsobna;2014 Stanovanja - SKUPAJ;2014 Enosobna;2014 Dvosobna;2014 Trisobna;2014 Štirisobna;2014 Pet- in veèsobna;2015 Stanovanja - SKUPAJ;2015 Enosobna;2015 Dvosobna;2015 Trisobna;2015 Štirisobna;2015 Pet- in veèsobna;2016 Stanovanja - SKUPAJ;2016 Enosobna;2016 Dvosobna;2016 Trisobna;2016 Štirisobna;2016 Pet- in veèsobna;2017 Stanovanja - SKUPAJ;2017 Enosobna;2017 Dvosobna;2017 Trisobna;2017 Štirisobna;2017 Pet- in veèsobna;2018 Stanovanja - SKUPAJ;2018 Enosobna;2018 Dvosobna;2018 Trisobna;2018 Štirisobna;2018 Pet- in veèsobna;2019 Stanovanja - SKUPAJ;2019 Enosobna;2019 Dvosobna;2019 Trisobna;2019 Štirisobna;2019 Pet- in veèsobna;2020 Stanovanja - SKUPAJ;2020 Enosobna;2020 Dvosobna;2020 Trisobna;2020 Štirisobna;2020 Pet- in veèsobna
SLOVENIJA;Število;6355;522;908;1256;1458;2211;5498;428;863;852;1147;2208;4307;401;445;657;944;1860;3484;157;426;591;831;1479;3163;216;353;434;699;1461;2776;154;231;385;636;1370;2975;155;240;477;730;1373;3044;197;290;448;688;1421;3037;124;316;499;748;1350;3415;141;361;653;868;1392;3540;219;321;644;765;1591
SLOVENIJA;Površina [m2];822112;21115;54056;123296;207546;416099;727888;17981;51437;84544;167490;406436;596388;15267;29115;65409;138981;347616;507928;11130;31060;55243;127053;283442;458939;8151;22371;45684;105422;277311;408480;8295;15630;39524;95259;249772;450161;8296;16527;53241;108690;263407;440986;10247;20923;47953;102258;259605;447993;7744;23935;53719;109743;252852;471997;8566;24543;67565;119832;251491;508285;15463;24147;69479;113868;285328
Ajdovšèina;Število;51;0;2;7;19;23;42;0;0;5;11;26;73;0;4;21;18;30;33;1;1;5;6;20;38;0;0;2;8;28;46;2;1;5;6;32;38;2;2;4;11;19;38;1;2;3;9;23;38;3;4;10;10;11;30;1;1;6;10;12;33;1;1;3;10;18
Ajdovšèina;Površina [m2];8709;0;152;965;2923;4669;8680;0;0;742;1847;6091;11046;0;270;2249;2167;6360;5077;51;77;645;767;3537;6768;0;0;195;991;5582;7219;110;73;344;1223;5469;5593;153;204;412;1202;3622;6033;46;126;324;1281;4256;5392;181;382;1116;1586;2127;4251;40;55;725;1500;1931;5525;192;45;369;1633;3286
Ankaran/Ancarano;Število;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;3;0;0;0;1;2;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Ankaran/Ancarano;Površina [m2];-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;666;0;0;0;284;382;102;0;0;0;102;0;106;0;0;106;0;0;0;0;0;0;0;0;85;0;0;85;0;0
Apaèe;Število;12;0;1;1;6;4;10;1;1;0;3;5;17;0;2;0;6;9;12;0;1;2;4;5;9;0;0;3;4;2;8;2;0;1;2;3;16;0;4;2;1;9;9;3;1;0;3;2;15;3;1;4;4;3;7;0;1;3;3;0;9;0;0;4;1;4
Apaèe;Površina [m2];2227;0;76;109;1480;562;1932;99;132;0;511;1190;2989;0;290;0;788;1911;1797;0;210;210;541;836;1361;0;0;352;605;404;1119;76;0;64;465;514;1903;0;399;208;146;1150;1202;170;137;0;455;440;2151;174;76;509;593;799;965;0;85;444;436;0;1730;0;0;740;90;900
Beltinci;Število;15;0;2;2;5;6;20;0;2;4;8;6;14;0;2;2;1;9;10;0;0;2;3;5;16;1;2;1;4;8;20;1;3;2;1;13;12;0;2;1;6;3;13;0;0;1;3;9;23;0;0;2;1;20;35;3;5;5;11;11;10;0;0;0;3;7
Beltinci;Površina [m2];2137;0;110;318;582;1127;2876;0;79;434;1306;1057;2026;0;90;237;142;1557;1518;0;0;241;503;774;2081;16;132;79;577;1277;2140;43;195;215;99;1588;1292;0;122;77;684;409;1720;0;0;62;347;1311;2778;0;0;123;139;2516;3407;111;354;394;1222;1326;1743;0;0;0;365;1378
