Stanovanjske nepremičnine,leto,povprecje_cetrtletij_glede_na_2015
1 Stanovanjske nepremičnine - SKUPAJ,2010,1172.1
1 Stanovanjske nepremičnine - SKUPAJ,2011,1203.9
1 Stanovanjske nepremičnine - SKUPAJ,2012,1120.9
1 Stanovanjske nepremičnine - SKUPAJ,2013,1062.1
1 Stanovanjske nepremičnine - SKUPAJ,2014,992
1 Stanovanjske nepremičnine - SKUPAJ,2015,1000
1 Stanovanjske nepremičnine - SKUPAJ,2016,1032.5
1 Stanovanjske nepremičnine - SKUPAJ,2017,1117.9
1 Stanovanjske nepremičnine - SKUPAJ,2018,1215.5
1 Stanovanjske nepremičnine - SKUPAJ,2019,1296.9
1 Stanovanjske nepremičnine - SKUPAJ,2020,1356.6
Nove stanovanjske nepremičnine,2010,1151.4
Nove stanovanjske nepremičnine,2011,1211.8
Nove stanovanjske nepremičnine,2012,1096.5
Nove stanovanjske nepremičnine,2013,1042.2
Nove stanovanjske nepremičnine,2014,982
Nove stanovanjske nepremičnine,2015,1000
Nove stanovanjske nepremičnine,2016,1003.4
Nove stanovanjske nepremičnine,2017,1109.4
Nove stanovanjske nepremičnine,2018,1201
Nove stanovanjske nepremičnine,2019,1202.2
Nove stanovanjske nepremičnine,2020,1249.2
Nova stanovanja,2010,1098.8
Nova stanovanja,2011,1182
Nova stanovanja,2012,1056
Nova stanovanja,2013,1017.6
Nova stanovanja,2014,951.1
Nova stanovanja,2015,1000
Nova stanovanja,2016,1013.3
Nova stanovanja,2017,1127.7
Nova stanovanja,2018,1220
Nova stanovanja,2019,1215.2
Nova stanovanja,2020,1241.2
Nove družinske hiše,2010,1342.4
Nove družinske hiše,2011,1318.4
Nove družinske hiše,2012,1264.1
Nove družinske hiše,2013,1164.9
Nove družinske hiše,2014,1137.3
Nove družinske hiše,2015,1000
Nove družinske hiše,2016,950.6
Nove družinske hiše,2017,1020.4
Nove družinske hiše,2018,1101.8
Nove družinske hiše,2019,1138.9
Nove družinske hiše,2020,1289.4
Rabljene stanovanjske nepremičnine,2010,1186.7
Rabljene stanovanjske nepremičnine,2011,1194.6
Rabljene stanovanjske nepremičnine,2012,1128
Rabljene stanovanjske nepremičnine,2013,1068.4
Rabljene stanovanjske nepremičnine,2014,994.4
Rabljene stanovanjske nepremičnine,2015,1000
Rabljene stanovanjske nepremičnine,2016,1037.7
Rabljene stanovanjske nepremičnine,2017,1118.9
Rabljene stanovanjske nepremičnine,2018,1218.3
Rabljene stanovanjske nepremičnine,2019,1315.6
Rabljene stanovanjske nepremičnine,2020,1378.5
"Rabljena stanovanja, Slovenija",2010,1172.8
"Rabljena stanovanja, Slovenija",2011,1184.8
"Rabljena stanovanja, Slovenija",2012,1111
"Rabljena stanovanja, Slovenija",2013,1058.9
"Rabljena stanovanja, Slovenija",2014,971.4
"Rabljena stanovanja, Slovenija",2015,1000
"Rabljena stanovanja, Slovenija",2016,1040.3
"Rabljena stanovanja, Slovenija",2017,1137.1
"Rabljena stanovanja, Slovenija",2018,1266.4
"Rabljena stanovanja, Slovenija",2019,1359.9
"Rabljena stanovanja, Slovenija",2020,1433.1
"Rabljena stanovanja, Ljubljana-občina",2010,1200.3
"Rabljena stanovanja, Ljubljana-občina",2011,1237.3
"Rabljena stanovanja, Ljubljana-občina",2012,1162.4
"Rabljena stanovanja, Ljubljana-občina",2013,1027.6
"Rabljena stanovanja, Ljubljana-občina",2014,949.9
"Rabljena stanovanja, Ljubljana-občina",2015,1000
"Rabljena stanovanja, Ljubljana-občina",2016,1060.5
"Rabljena stanovanja, Ljubljana-občina",2017,1200.2
"Rabljena stanovanja, Ljubljana-občina",2018,1345.4
"Rabljena stanovanja, Ljubljana-občina",2019,1378.8
"Rabljena stanovanja, Ljubljana-občina",2020,1427.7
"Rabljena stanovanja, preostala Slovenija",2010,1153
"Rabljena stanovanja, preostala Slovenija",2011,1153.2
"Rabljena stanovanja, preostala Slovenija",2012,1080.3
"Rabljena stanovanja, preostala Slovenija",2013,1080.9
"Rabljena stanovanja, preostala Slovenija",2014,986.9
"Rabljena stanovanja, preostala Slovenija",2015,1000
"Rabljena stanovanja, preostala Slovenija",2016,1026.4
"Rabljena stanovanja, preostala Slovenija",2017,1094.8
"Rabljena stanovanja, preostala Slovenija",2018,1213.9
"Rabljena stanovanja, preostala Slovenija",2019,1341.2
