STATISTIČNA REGIJA,LETO,Stopnja,Delež ljudi
Pomurska,2010,Zelo težko,11
Pomurska,2010,Težko,27
Pomurska,2010,Z manjšimi težavami,42
Pomurska,2010,Dokaj lahko,16
Pomurska,2010,Lahko,4
Pomurska,2010,Zelo lahko,1
Pomurska,2011,Zelo težko,13
Pomurska,2011,Težko,29
Pomurska,2011,Z manjšimi težavami,43
Pomurska,2011,Dokaj lahko,11
Pomurska,2011,Lahko,3
Pomurska,2011,Zelo lahko,1
Pomurska,2012,Zelo težko,8
Pomurska,2012,Težko,30
Pomurska,2012,Z manjšimi težavami,40
Pomurska,2012,Dokaj lahko,15
Pomurska,2012,Lahko,6
Pomurska,2012,Zelo lahko,1
Pomurska,2013,Zelo težko,6
Pomurska,2013,Težko,26
Pomurska,2013,Z manjšimi težavami,48
Pomurska,2013,Dokaj lahko,16
Pomurska,2013,Lahko,4
Pomurska,2013,Zelo lahko,0
Pomurska,2014,Zelo težko,10
Pomurska,2014,Težko,21
Pomurska,2014,Z manjšimi težavami,45
Pomurska,2014,Dokaj lahko,15
Pomurska,2014,Lahko,9
Pomurska,2014,Zelo lahko,0
Pomurska,2015,Zelo težko,6
Pomurska,2015,Težko,20
Pomurska,2015,Z manjšimi težavami,47
Pomurska,2015,Dokaj lahko,20
Pomurska,2015,Lahko,5
Pomurska,2015,Zelo lahko,1
Pomurska,2016,Zelo težko,9
Pomurska,2016,Težko,18
Pomurska,2016,Z manjšimi težavami,49
Pomurska,2016,Dokaj lahko,15
Pomurska,2016,Lahko,8
Pomurska,2016,Zelo lahko,1
Pomurska,2017,Zelo težko,6
Pomurska,2017,Težko,23
Pomurska,2017,Z manjšimi težavami,43
Pomurska,2017,Dokaj lahko,21
Pomurska,2017,Lahko,7
Pomurska,2017,Zelo lahko,0
Pomurska,2018,Zelo težko,8
Pomurska,2018,Težko,22
Pomurska,2018,Z manjšimi težavami,40
Pomurska,2018,Dokaj lahko,18
Pomurska,2018,Lahko,10
Pomurska,2018,Zelo lahko,1
Pomurska,2019,Zelo težko,6
Pomurska,2019,Težko,21
Pomurska,2019,Z manjšimi težavami,37
Pomurska,2019,Dokaj lahko,24
Pomurska,2019,Lahko,12
Pomurska,2019,Zelo lahko,1
Pomurska,2020,Zelo težko,8
Pomurska,2020,Težko,18
Pomurska,2020,Z manjšimi težavami,38
Pomurska,2020,Dokaj lahko,26
Pomurska,2020,Lahko,11
Pomurska,2020,Zelo lahko,0
Podravska,2010,Zelo težko,15
Podravska,2010,Težko,25
Podravska,2010,Z manjšimi težavami,36
Podravska,2010,Dokaj lahko,15
Podravska,2010,Lahko,7
Podravska,2010,Zelo lahko,1
Podravska,2011,Zelo težko,17
Podravska,2011,Težko,23
Podravska,2011,Z manjšimi težavami,35
Podravska,2011,Dokaj lahko,17
Podravska,2011,Lahko,6
Podravska,2011,Zelo lahko,2
Podravska,2012,Zelo težko,15
Podravska,2012,Težko,20
Podravska,2012,Z manjšimi težavami,36
Podravska,2012,Dokaj lahko,17
Podravska,2012,Lahko,10
Podravska,2012,Zelo lahko,2
Podravska,2013,Zelo težko,16
Podravska,2013,Težko,24
Podravska,2013,Z manjšimi težavami,36
Podravska,2013,Dokaj lahko,14
Podravska,2013,Lahko,8
Podravska,2013,Zelo lahko,1
Podravska,2014,Zelo težko,15
Podravska,2014,Težko,20
Podravska,2014,Z manjšimi težavami,37
Podravska,2014,Dokaj lahko,19
Podravska,2014,Lahko,9
Podravska,2014,Zelo lahko,1
Podravska,2015,Zelo težko,13
Podravska,2015,Težko,20
Podravska,2015,Z manjšimi težavami,36
Podravska,2015,Dokaj lahko,20
Podravska,2015,Lahko,9
Podravska,2015,Zelo lahko,2
Podravska,2016,Zelo težko,12
Podravska,2016,Težko,21
Podravska,2016,Z manjšimi težavami,33
Podravska,2016,Dokaj lahko,20
Podravska,2016,Lahko,12
Podravska,2016,Zelo lahko,2
Podravska,2017,Zelo težko,12
Podravska,2017,Težko,18
Podravska,2017,Z manjšimi težavami,37
Podravska,2017,Dokaj lahko,19
Podravska,2017,Lahko,13
Podravska,2017,Zelo lahko,1
Podravska,2018,Zelo težko,10
Podravska,2018,Težko,17
Podravska,2018,Z manjšimi težavami,34
Podravska,2018,Dokaj lahko,24
Podravska,2018,Lahko,13
Podravska,2018,Zelo lahko,2
Podravska,2019,Zelo težko,7
Podravska,2019,Težko,18
Podravska,2019,Z manjšimi težavami,33
Podravska,2019,Dokaj lahko,26
Podravska,2019,Lahko,13
Podravska,2019,Zelo lahko,3
Podravska,2020,Zelo težko,9
Podravska,2020,Težko,17
Podravska,2020,Z manjšimi težavami,30
Podravska,2020,Dokaj lahko,28
Podravska,2020,Lahko,15
Podravska,2020,Zelo lahko,1
Koroška,2010,Zelo težko,15
Koroška,2010,Težko,33
Koroška,2010,Z manjšimi težavami,33
Koroška,2010,Dokaj lahko,14
Koroška,2010,Lahko,4
Koroška,2010,Zelo lahko,1
Koroška,2011,Zelo težko,16
Koroška,2011,Težko,29
Koroška,2011,Z manjšimi težavami,35
Koroška,2011,Dokaj lahko,12
Koroška,2011,Lahko,9
Koroška,2011,Zelo lahko,0
Koroška,2012,Zelo težko,11
Koroška,2012,Težko,27
Koroška,2012,Z manjšimi težavami,32
Koroška,2012,Dokaj lahko,20
Koroška,2012,Lahko,11
Koroška,2012,Zelo lahko,1
Koroška,2013,Zelo težko,18
Koroška,2013,Težko,26
Koroška,2013,Z manjšimi težavami,37
Koroška,2013,Dokaj lahko,12
Koroška,2013,Lahko,7
