Pogodbena cena / Odškodnina,Leto izgradnje dela stavbe,Novogradnja,Dejanska raba dela stavbe,Število sob,Površina dela stavbe,Uporabna površina,Statistična.regija
30000,1973,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,31.9,27.5,Savinjska
96000,1800,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,2,46,37.3,Obalno-kraška
31000,1979,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,2,51.4,47.1,Obalno-kraška
85000,2009,1,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,2,69.2,59.1,Podravska
47434,2009,1,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,40.3,35.5,Podravska
50000,1964,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,3,55.3,48.3,Podravska
73500,1985,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,2,57.5,48.2,Podravska
2000,1720,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,7,159.6,85.4,Koroška
147000,1993,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,2,143,86.9,Osrednjeslovenska
50000,1990,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,110.4,54,Osrednjeslovenska
220000,2010,1,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,94.7,88.7,Podravska
51000,1912,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,3,131,95,Gorenjska
30000,2005,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,3,56,52.2,Osrednjeslovenska
120000,1983,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,8,368,178.8,Osrednjeslovenska
30000,2005,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,3,56,52.2,Osrednjeslovenska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,27.8,27.8,Gorenjska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,50.4,50.4,Gorenjska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,29.7,29.7,Gorenjska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,43.1,43.1,Gorenjska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,6,207,118.5,Gorenjska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,26.4,26.4,Gorenjska
60000,1931,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,64.5,63.9,Gorenjska
68500,1923,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,0,44,41.5,Podravska
114812,1935,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,29,29,Podravska
114812,1935,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,50.7,50.7,Podravska
90000,2007,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,75.9,57.8,Podravska
154406.5,1980,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,4,109.7,102.5,Posavska
70406.5,1986,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,5,396.9,181.3,Goriška
38000,1967,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,1,40.1,30.4,Savinjska
1380,1990,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,3,111.6,89.3,Savinjska
13500,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,14,14,Osrednjeslovenska
13500,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.3,19.3,Osrednjeslovenska
13500,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,2,9.8,9.8,Osrednjeslovenska
13500,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,3,45.3,45.3,Osrednjeslovenska
13500,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,18.7,14.4,Osrednjeslovenska
13500,1957,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,13.9,13.9,Osrednjeslovenska
48000,1968,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,26.4,26.4,Osrednjeslovenska
43200,1975,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,1,43.2,37.1,Podravska
68000,1972,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,1,34.1,31.1,Osrednjeslovenska
1640,1970,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,240,157,Osrednjeslovenska
85000,1972,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,2,60.5,52.8,Osrednjeslovenska
2868.7,1958,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,1,52.1,40.1,Podravska
4303.06,1958,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,3,78.1,66,Podravska
3667,1958,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,2,66.6,59,Podravska
97000,1981,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,2,63.5,55.1,Osrednjeslovenska
4756.7,1962,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,2,60.3,45.2,Podravska
