leto,vrsta,statisticna_regija,stevilo_prebivalcev,Površina [m2],Število
2010,Dvosobna,Gorenjska,202903,6616,100
2010,Dvosobna,Goriška,119080,1572,29
2010,Dvosobna,Jugovzhodna Slovenija,142092,2720,36
2010,Dvosobna,Koroška,72812,2228,48
2010,Dvosobna,Obalno-kraška,110412,2499,39
2010,Dvosobna,Osrednjeslovenska,529646,13506,249
2010,Dvosobna,Podravska,323343,8349,116
2010,Dvosobna,Pomurska,119548,2619,43
2010,Dvosobna,Posavska,70192,3350,43
2010,Dvosobna,Primorsko-notranjska,52217,1381,24
2010,Dvosobna,Savinjska,260025,8835,178
2010,Dvosobna,Zasavska,44706,381,3
2010,Enosobna,Gorenjska,202903,2069,49
2010,Enosobna,Goriška,119080,3513,77
2010,Enosobna,Jugovzhodna Slovenija,142092,905,26
2010,Enosobna,Koroška,72812,427,11
2010,Enosobna,Obalno-kraška,110412,960,28
2010,Enosobna,Osrednjeslovenska,529646,8130,221
2010,Enosobna,Podravska,323343,1478,28
2010,Enosobna,Pomurska,119548,769,17
2010,Enosobna,Posavska,70192,797,12
2010,Enosobna,Primorsko-notranjska,52217,161,3
2010,Enosobna,Savinjska,260025,1906,50
2010,Enosobna,Zasavska,44706,0,0
2010,Pet ali večsobna,Gorenjska,202903,49496,246
2010,Pet ali večsobna,Goriška,119080,24856,142
2010,Pet ali večsobna,Jugovzhodna Slovenija,142092,21380,105
2010,Pet ali večsobna,Koroška,72812,11087,56
2010,Pet ali večsobna,Obalno-kraška,110412,25300,138
2010,Pet ali večsobna,Osrednjeslovenska,529646,102432,548
2010,Pet ali večsobna,Podravska,323343,69690,373
2010,Pet ali večsobna,Pomurska,119548,19291,108
2010,Pet ali večsobna,Posavska,70192,13772,78
2010,Pet ali večsobna,Primorsko-notranjska,52217,15014,76
2010,Pet ali večsobna,Savinjska,260025,54100,289
2010,Pet ali večsobna,Zasavska,44706,9681,52
2010,Stanovanja,Gorenjska,202903,104920,693
2010,Stanovanja,Goriška,119080,47534,387
2010,Stanovanja,Jugovzhodna Slovenija,142092,44786,346
2010,Stanovanja,Koroška,72812,22641,209
2010,Stanovanja,Obalno-kraška,110412,43826,336
2010,Stanovanja,Osrednjeslovenska,529646,199905,1721
2010,Stanovanja,Podravska,323343,129443,905
2010,Stanovanja,Pomurska,119548,43413,317
2010,Stanovanja,Posavska,70192,29259,221
2010,Stanovanja,Primorsko-notranjska,52217,24473,173
2010,Stanovanja,Savinjska,260025,116157,953
2010,Stanovanja,Zasavska,44706,15755,94
2010,Štirisobna,Gorenjska,202903,33766,191
2010,Štirisobna,Goriška,119080,12249,80
2010,Štirisobna,Jugovzhodna Slovenija,142092,11286,85
2010,Štirisobna,Koroška,72812,3000,23
2010,Štirisobna,Obalno-kraška,110412,9632,74
2010,Štirisobna,Osrednjeslovenska,529646,49548,399
2010,Štirisobna,Podravska,323343,24455,169
2010,Štirisobna,Pomurska,119548,13467,86
2010,Štirisobna,Posavska,70192,6650,53
2010,Štirisobna,Primorsko-notranjska,52217,4868,36
2010,Štirisobna,Savinjska,260025,33500,228
2010,Štirisobna,Zasavska,44706,5125,34
2010,Trisobna,Gorenjska,202903,12973,107
2010,Trisobna,Goriška,119080,5344,59
2010,Trisobna,Jugovzhodna Slovenija,142092,8495,94
2010,Trisobna,Koroška,72812,5899,71
2010,Trisobna,Obalno-kraška,110412,5435,57
2010,Trisobna,Osrednjeslovenska,529646,26289,304
2010,Trisobna,Podravska,323343,25471,219
2010,Trisobna,Pomurska,119548,7267,63
2010,Trisobna,Posavska,70192,4690,35
2010,Trisobna,Primorsko-notranjska,52217,3049,34
2010,Trisobna,Savinjska,260025,17816,208
2010,Trisobna,Zasavska,44706,568,5
2011,Dvosobna,Gorenjska,203427,3024,64
2011,Dvosobna,Goriška,119146,986,16
2011,Dvosobna,Jugovzhodna Slovenija,142483,1665,21
2011,Dvosobna,Koroška,72494,484,9
2011,Dvosobna,Obalno-kraška,110760,4439,72
2011,Dvosobna,Osrednjeslovenska,533213,21993,376
2011,Dvosobna,Podravska,323119,4494,64
2011,Dvosobna,Pomurska,119145,1859,23
2011,Dvosobna,Posavska,70167,305,4
2011,Dvosobna,Primorsko-notranjska,52287,658,13
2011,Dvosobna,Savinjska,259726,10300,176
2011,Dvosobna,Zasavska,44222,1230,25
2011,Enosobna,Gorenjska,203427,770,16
2011,Enosobna,Goriška,119146,115,3
2011,Enosobna,Jugovzhodna Slovenija,142483,677,14
2011,Enosobna,Koroška,72494,27,1
2011,Enosobna,Obalno-kraška,110760,2643,67
2011,Enosobna,Osrednjeslovenska,533213,7575,196
2011,Enosobna,Podravska,323119,1300,25
2011,Enosobna,Pomurska,119145,644,12
2011,Enosobna,Posavska,70167,134,2
2011,Enosobna,Primorsko-notranjska,52287,344,8
2011,Enosobna,Savinjska,259726,3752,84
2011,Enosobna,Zasavska,44222,0,0
2011,Pet ali večsobna,Gorenjska,203427,48335,224
2011,Pet ali večsobna,Goriška,119146,20808,112
2011,Pet ali večsobna,Jugovzhodna Slovenija,142483,24043,115
2011,Pet ali večsobna,Koroška,72494,12004,53
2011,Pet ali večsobna,Obalno-kraška,110760,16838,97
2011,Pet ali večsobna,Osrednjeslovenska,533213,80548,404
2011,Pet ali večsobna,Podravska,323119,82966,537
2011,Pet ali večsobna,Pomurska,119145,20925,110
2011,Pet ali večsobna,Posavska,70167,17938,104
2011,Pet ali večsobna,Primorsko-notranjska,52287,15398,110
2011,Pet ali večsobna,Savinjska,259726,54339,282
2011,Pet ali večsobna,Zasavska,44222,12294,60
2011,Stanovanja,Gorenjska,203427,75630,493
2011,Stanovanja,Goriška,119146,36125,241
2011,Stanovanja,Jugovzhodna Slovenija,142483,42051,256
2011,Stanovanja,Koroška,72494,16002,87
2011,Stanovanja,Obalno-kraška,110760,37998,348
2011,Stanovanja,Osrednjeslovenska,533213,170011,1495
2011,Stanovanja,Podravska,323119,140370,987
2011,Stanovanja,Pomurska,119145,40273,271
2011,Stanovanja,Posavska,70167,25931,171
2011,Stanovanja,Primorsko-notranjska,52287,22302,185
2011,Stanovanja,Savinjska,259726,103811,849
2011,Stanovanja,Zasavska,44222,17384,115
2011,Štirisobna,Gorenjska,203427,15386,101
2011,Štirisobna,Goriška,119146,10962,75
2011,Štirisobna,Jugovzhodna Slovenija,142483,11997,72
2011,Štirisobna,Koroška,72494,2362,16
2011,Štirisobna,Obalno-kraška,110760,9243,64
2011,Štirisobna,Osrednjeslovenska,533213,33099,235
2011,Štirisobna,Podravska,323119,36793,242
2011,Štirisobna,Pomurska,119145,11268,71
2011,Štirisobna,Posavska,70167,4598,35
2011,Štirisobna,Primorsko-notranjska,52287,5011,44
2011,Štirisobna,Savinjska,259726,24101,171
2011,Štirisobna,Zasavska,44222,2670,21
2011,Trisobna,Gorenjska,203427,8115,88
2011,Trisobna,Goriška,119146,3254,35
2011,Trisobna,Jugovzhodna Slovenija,142483,3669,34
2011,Trisobna,Koroška,72494,1125,8
2011,Trisobna,Obalno-kraška,110760,4835,48
2011,Trisobna,Osrednjeslovenska,533213,26796,284
2011,Trisobna,Podravska,323119,14817,119
2011,Trisobna,Pomurska,119145,5577,55
2011,Trisobna,Posavska,70167,2956,26
2011,Trisobna,Primorsko-notranjska,52287,891,10
2011,Trisobna,Savinjska,259726,11319,136
2011,Trisobna,Zasavska,44222,1190,9
2012,Dvosobna,Gorenjska,204057,2210,38
2012,Dvosobna,Goriška,119236,2506,37
2012,Dvosobna,Jugovzhodna Slovenija,142680,1879,33
2012,Dvosobna,Koroška,72364,439,5
